state,x,y
Alabama,417,-231
Alaska,-612,-510
Arizona,-609,-120
Arkansas,171,-159
California,-891,39
Colorado,-336,60
Connecticut,891,288
Delaware,825,126
Florida,660,-435
Georgia,546,-225
Hawaii,-951,-429
Idaho,-648,366
Illinois,285,111
Indiana,399,117
Iowa,114,195
Kansas,-51,15
Kentucky,447,3
Louisiana,177,-342
Maine,957,492
Maryland,864,81
Massachusetts,936,336
Michigan,444,303
Minnesota,69,405
Mississippi,282,-234
Missouri,147,18
Montana,-423,450
Nebraska,-183,198
Nevada,-771,168
New Hampshire,906,381
New Jersey,846,195
New Mexico,-384,-129
New York,708,312
North Carolina,717,-66
North Dakota,-132,474
Ohio,528,156
Oklahoma,-24,-123
Oregon,-834,414
Pennsylvania,714,216
Rhode Island,954,282
South Carolina,654,-153
South Dakota,-132,327
Tennessee,393,-102
Texas,-114,-318
Utah,-567,102
Vermont,846,462
Virginia,702,36
Washington,-771,579
West Virginia,600,60
Wisconsin,249,339
Wyoming,-402,270
